,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,286258,2.0,3,PGH,1224,309159,1202,10/05/2019,08/06/2018,279000,40.429416,-79.898329,3000,263357,15218,Richmond Street,Pennsylvania,168100.0,2019,SingleFamily,1920
1,114517,1.0,3,Swissvale,1144,124824,894,10/05/2019,02/14/2002,78500,40.42659,-79.84233,7500,100775,15221,South Braddock Avenue,Pennsylvania,85700.0,2019,SingleFamily,1950
2,284553,1.0,3,Swissvale,1340,315854,1205,10/05/2019,08/25/1998,43575,40.429169,-79.898732,3000,244716,15218,Trevanion Avenue,Pennsylvania,178400.0,2019,SingleFamily,1925
3,320151,1.0,2,Edgewood,2601,361771,677,10/05/2019,NA,NA,40.440344,-79.896211,3049,268927,15221,East End Avenue,Pennsylvania,160000.0,2019,SingleFamily,1911
4,334022,2.0,3,Swissvale,1868,377445,1200,10/05/2019,03/20/2002,19000,40.429203,-79.89937,2550,293939,15218,Trevanion Avenue,Pennsylvania,175000.0,2019,SingleFamily,1930
5,112596,1.0,1,Swissvale,708,150879,1241,10/05/2019,02/03/1987,40425,40.428271,-79.898084,9000,70935,15218,Trevanion Avenue,Pennsylvania,58000.0,2019,SingleFamily,1896
6,353233,1.5,3,Swissvale,1664,395621,1109,10/05/2019,07/12/2002,175000,40.431365,-79.896476,4200,310845,15218,Macon Avenue,Pennsylvania,220700.0,2019,SingleFamily,1910
7,317129,3.0,6,Edgewood,2203,377384,722,10/05/2019,03/07/1987,53000,40.437805,-79.895958,3000,231504,15221,East End Avenue,Pennsylvania,156600.0,2019,Triplex,1900
8,296151,1.0,3,Edgewood,1872,340574,952,10/05/2019,10/29/1996,72500,40.434387,-79.895555,3600,245805,15221,South Braddock Avenue,Pennsylvania,146000.0,2019,SingleFamily,1923
9,177582,1.0,2,Swissvale,1164,214874,929,10/05/2019,NA,NA,40.435116,-79.895358,4124,143841,15221,South Braddock Avenue,Pennsylvania,90000.0,2019,SingleFamily,1925
10,347716,2.0,4,Swissvale,1392,382488,1181,10/05/2019,07/13/2006,250000,40.430451,-79.897798,4200,309467,15218,Lancaster Avenue,Pennsylvania,224400.0,2019,SingleFamily,1929
11,,1.0,1,Swissvale,400,,1100,01/01/1970,02/14/1984,110000,40.431778,-79.896209,6000,,15218,Laclair Avenue,Pennsylvania,225000.0,2019,MultiFamily5Plus,1900
12,,1.0,1,Swissvale,800,,864,01/01/1970,05/29/2015,21835,40.420595,-79.867472,6000,,15221,South Braddock Avenue,Pennsylvania,39700.0,2019,SingleFamily,1918
13,618324,2.5,3,Swissvale,3100,667790,1037,10/05/2019,08/01/2002,292000,40.431694,-79.897989,7200,562675,15218,Lancaster Avenue,Pennsylvania,393600.0,2019,SingleFamily,1954
14,330794,2.0,6,Wilkinsburg,2518,383721,101,10/05/2019,01/21/1993,120000,40.437392,-79.895298,4256,287791,15221,Biddle Avenue,Pennsylvania,203200.0,2019,Duplex,1923
15,280748,1.0,3,Edgewood,1898,328475,700,10/05/2019,10/21/2003,118000,40.438407,-79.896222,3000,230213,15221,East End Avenue,Pennsylvania,168000.0,2019,SingleFamily,1910
16,376092,2.0,4,Swissvale,2932,413701,1099,10/05/2019,07/26/2000,150000,40.433461,-79.895464,4800,323439,15218,Milton Street,Pennsylvania,264200.0,2019,Duplex,1924
17,323953,1.0,3,Edgewood,1600,353109,653,10/05/2019,04/21/2005,133000,40.440966,-79.895965,3000,291558,15221,East End Avenue,Pennsylvania,192000.0,2019,SingleFamily,1914
18,410409,1.1,3,Swissvale,1576,443242,969,10/05/2019,08/07/2018,400000,40.433829,-79.89643,4356,377576,15218,Milton Street,Pennsylvania,233400.0,2019,SingleFamily,1925
19,346118,1.5,3,Swissvale,1440,387652,804,10/05/2019,09/24/2014,111000,40.43555,-79.896219,4160,321890,15221,South Braddock Avenue,Pennsylvania,191100.0,2019,SingleFamily,1926
20,293353,1.5,3,Swissvale,1408,325622,1436,10/05/2019,11/01/2017,269900,40.427315,-79.894218,3600,264018,15218,Macon Avenue,Pennsylvania,217800.0,2019,SingleFamily,1924
21,,1.5,5,Wilkinsburg,2646,,109,01/01/1970,05/04/1995,133000,40.43749,-79.894918,6240,,15221,Biddle Avenue,Pennsylvania,86800.0,2019,SingleFamily,1888
22,286950,1.0,2,Swissvale,NA,327123,1027,10/05/2019,NA,NA,40.432272,-79.897247,NA,255385,15218,Macon Avenue,Pennsylvania,NA,NA,MultiFamily2To4,NA
23,337004,1.5,4,Swissvale,1610,377444,1230,10/05/2019,12/20/2002,151000,40.429152,-79.896867,4200,299934,15218,Lancaster Avenue,Pennsylvania,228300.0,2019,SingleFamily,1915
24,406924,1.5,3,Swissvale,1660,443547,972,10/05/2019,05/23/2013,356500,40.435046,-79.897157,3600,382509,15218,Milton Street,Pennsylvania,323700.0,2019,SingleFamily,1920
25,303493,1.0,2,Swissvale,1354,342947,1216,10/05/2019,08/25/1987,60000,40.428863,-79.899108,2798,279214,15218,Trevanion Avenue,Pennsylvania,208300.0,2019,SingleFamily,1926
26,,2.0,4,Wilkinsburg,1512,,7730,01/01/1970,10/13/2010,100000,40.43739,-79.981737,605,,15221,Forbes Avenue,Pennsylvania,300.0,2019,SingleFamily,1910
27,409938,1.5,3,Swissvale,1380,450932,911,10/05/2019,03/05/2018,386750,40.435217,-79.896657,3567,373044,15218,Milton Street,Pennsylvania,290000.0,2019,SingleFamily,1927
28,281028,1.0,3,Edgewood,1620,323182,636,10/05/2019,05/16/2003,90500,40.438749,-79.896372,2520,219202,15221,East End Avenue,Pennsylvania,124600.0,2019,SingleFamily,1900
29,324237,2.0,4,Swissvale,2310,340449,917,10/05/2019,07/02/2019,325000,40.435385,-79.895462,6198,308025,15221,South Braddock Avenue,Pennsylvania,263000.0,2019,SingleFamily,1925
30,195232,1.0,3,Edgewood,1300,230374,612,10/05/2019,01/22/2008,171000,40.439367,-79.896639,1800,162043,15221,East End Avenue,Pennsylvania,106900.0,2019,Townhouse,1906
31,325357,1.0,3,Edgewood,1474,354639,950,10/05/2019,05/24/1994,67500,40.434477,-79.89554,3600,289568,15221,South Braddock Avenue,Pennsylvania,167300.0,2019,SingleFamily,1923
32,352880,1.0,4,PGH,2025,388168,1242,10/05/2019,11/27/1989,84000,40.428449,-79.897639,3600,317592,15218,Richmond Street,Pennsylvania,236500.0,2019,SingleFamily,1922
33,300971,1.5,3,Swissvale,1200,334078,1001,10/05/2019,09/30/1994,73000,40.432932,-79.897608,6000,264854,15218,Macon Avenue,Pennsylvania,188500.0,2019,SingleFamily,1930
34,313148,1.0,4,Edgewood,1702,356989,676,10/05/2019,10/30/2001,85000,40.440724,-79.896698,4200,275570,15221,East End Avenue,Pennsylvania,170000.0,2019,SingleFamily,1940
35,376087,2.5,4,Swissvale,1658,409935,7410,10/05/2019,11/07/2013,346937,40.42834,-79.895295,4800,327196,15218,Trevanion Avenue,Pennsylvania,273100.0,2019,SingleFamily,1917
36,350162,2.0,3,Swissvale,2170,388680,7306,10/05/2019,12/03/1996,82500,40.427686,-79.896866,2465,318647,15218,Trevanion Avenue,Pennsylvania,215000.0,2019,SingleFamily,1931
37,480749,3.0,6,Edgewood,3799,572091,856,10/05/2019,09/25/2000,120000,40.440343,-79.896846,5256,389407,15221,East End Avenue,Pennsylvania,297000.0,2019,MultiFamily2To4,1927
38,355402,1.0,2,Edgewood,1774,390942,732,10/05/2019,NA,NA,40.437487,-79.895819,3000,319862,15221,East End Avenue,Pennsylvania,209700.0,2019,SingleFamily,1910
39,311081,1.0,3,Swissvale,1476,351522,7326,10/05/2019,05/10/2011,187000,40.427903,-79.896151,3000,270640,15218,Trevanion Avenue,Pennsylvania,180000.0,2019,SingleFamily,1925
40,,1.5,0,Swissvale,1432,,765,01/01/1970,10/12/2005,40000,40.456517,-79.875581,2600,,15221,South Braddock Avenue,Pennsylvania,600.0,2019,SingleFamily,1930
41,,1.0,1,Swissvale,NA,,802,01/01/1970,NA,NA,40.436803,-79.896058,NA,,15221,South Braddock Avenue,Pennsylvania,NA,NA,Apartment,NA
