,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,294118,2.0,3,PGH,3756,335295,2342,10/08/2019,10/03/2000,75000,40.42717,-79.971872,1340,252941,15203,Sarah Street,Pennsylvania,189300.0,2019,SingleFamily,1890
1,390146,2.5,5,PGH,2560,433062,1101,10/08/2019,09/10/2013,260000,40.427855,-79.9874,1245,343328,15203,Sarah Street,Pennsylvania,242900.0,2019,SingleFamily,1853
2,413050,2.5,3,PGH,1974,433702,1718,10/08/2019,01/09/2003,309646,40.431643,-79.980814,784,388267,15203,Shore Court,Pennsylvania,293800.0,2019,SingleFamily,2002
3,159967,1.0,2,PGH,870,180763,2825,10/08/2019,10/02/2013,131750,40.424864,-79.966017,858,145570,15203,Larkins Way,Pennsylvania,120700.0,2019,SingleFamily,1900
4,166081,1.0,2,PGH,1584,192654,35,10/08/2019,05/24/2002,29000,40.426717,-79.98565,1320,136186,15203,Enon Way,Pennsylvania,131100.0,2019,SingleFamily,1900
5,332216,2.0,3,PGH,2843,375404,119,10/08/2019,02/16/2016,232061,40.426594,-79.984937,2300,275739,15203,South 13th Street,Pennsylvania,212900.0,2019,SingleFamily,1900
6,150822,1.0,3,PGH,1389,180986,57,10/08/2019,NA,NA,40.430065,-79.981724,1200,113116,15203,South 27th Street,Pennsylvania,63000.0,2019,SingleFamily,1900
7,,1.0,1,PGH,NA,,2228,01/01/1970,NA,NA,40.428075,-79.973387,NA,,15203,East Carson Street,Pennsylvania,NA,NA,Apartment,NA
8,364730,NA,4,PGH,2872,408498,1110,10/08/2019,09/14/2015,372500,40.429268,-79.987003,1920,310021,15203,Bingham Street,Pennsylvania,200300.0,2019,MultiFamily2To4,1900
9,150014,1.0,2,PGH,1060,165015,93,10/08/2019,05/05/2011,195000,40.427246,-79.969885,891,129012,15203,South 25th Street,Pennsylvania,81600.0,2019,SingleFamily,1900
10,102824,1.0,1,PGH,800,132643,529,10/08/2019,05/06/2016,80000,40.428739,-79.994004,936,69920,15203,East Carson Street,Pennsylvania,82000.0,2019,SingleFamily,1900
11,393732,1.0,2,PGH,2110,468541,86,10/08/2019,06/16/2016,344900,40.42898,-79.971201,1499,350421,15203,South 24th Street,Pennsylvania,328500.0,2019,SingleFamily,1901
12,185598,1.5,1,PGH,NA,239421,50,10/08/2019,NA,NA,40.428635,-79.969687,NA,142910,15203,South 25th Street,Pennsylvania,NA,NA,SingleFamily,1981
13,289655,NA,0,PGH,2400,341793,3132,10/08/2019,NA,NA,40.428155,-79.974873,NA,202759,15203,East Carson Street,Pennsylvania,NA,NA,SingleFamily,NA
14,115662,NA,0,PGH,1264,122602,2806,10/08/2019,05/07/2019,115000,40.425039,-79.966688,2391,109879,15203,Larkins Way,Pennsylvania,50000.0,2019,MultiFamily2To4,1885
15,248111,1.5,3,PGH,2968,285328,143,10/08/2019,08/05/2015,215000,40.426634,-79.983319,1253,220819,15203,South 15th Street,Pennsylvania,152300.0,2019,SingleFamily,1900
16,216710,1.5,1,PGH,2144,249216,2720,10/08/2019,NA,NA,40.425603,-79.966971,2358,182036,15203,Sarah Street,Pennsylvania,121400.0,2019,Condominium,1890
17,143618,1.0,2,PGH,1190,169469,3022,10/08/2019,05/13/2019,55000,40.422581,-79.964643,1319,116331,15203,East Carson Street,Pennsylvania,93000.0,2019,SingleFamily,1910
18,201153,2.0,4,PGH,1365,231326,2911,10/08/2019,02/03/2010,150000,40.427831,-79.977259,1120,166957,15203,Sarah Street,Pennsylvania,127300.0,2019,SingleFamily,1900
19,343863,2.0,4,PGH,3170,378249,133,10/08/2019,08/28/2012,200000,40.426415,-79.985989,3190,295722,15203,South 12th Street,Pennsylvania,275100.0,2019,Duplex,1900
20,341732,2.0,5,PGH,3584,406661,1212,10/08/2019,NA,NA,40.42926,-79.98557,1824,280220,15203,Bingham Street,Pennsylvania,169000.0,2019,SingleFamily,1900
21,177039,1.0,2,PGH,1489,214217,2521,10/08/2019,08/22/2001,3000,40.427254,-79.969135,960,145172,15203,Carey Way,Pennsylvania,81000.0,2019,SingleFamily,1900
22,210611,1.0,2,PGH,1946,254839,1700,10/08/2019,NA,NA,40.429896,-79.981485,1208,172701,15203,Sidney Street,Pennsylvania,135000.0,2019,SingleFamily,1880
23,268323,1.0,3,PGH,1832,289789,81,10/08/2019,10/22/2018,260000,40.429561,-79.982474,1045,249540,15203,South 16th Street,Pennsylvania,70000.0,2019,SingleFamily,1900
24,,1.0,2,PGH,1080,,18,01/01/1970,NA,NA,40.427084,-79.98486,1138,,15203,Uxor Way,Pennsylvania,600.0,2019,SingleFamily,1900
25,172305,1.5,3,PGH,1632,205043,2900,10/08/2019,08/04/2017,45000,40.420988,-79.967563,5871,144736,15203,East Carson Street,Pennsylvania,88000.0,2019,SingleFamily,1880
26,235618,1.0,1,PGH,900,325153,1,10/08/2019,NA,NA,40.42672,-79.97458,1440,157864,15203,South 22nd Street,Pennsylvania,NA,NA,MultiFamily5Plus,2019
27,138239,1.0,1,PGH,900,158975,2070,10/08/2019,07/14/1986,23000,40.427992,-79.977244,800,111974,15203,Carey Way,Pennsylvania,77500.0,2019,SingleFamily,1900
28,289655,NA,0,PGH,2400,341793,2132,10/08/2019,NA,NA,40.428155,-79.974873,NA,202759,15203,East Carson Street,Pennsylvania,NA,NA,SingleFamily,NA
29,265611,2.0,3,PGH,1455,292172,2099,10/08/2019,08/07/2014,245000,40.427826,-79.977317,1056,244362,15203,Sarah Street,Pennsylvania,213000.0,2019,SingleFamily,1900
30,612028,3.5,4,PGH,3510,660990,69,10/08/2019,11/04/1987,47500,40.528953,-79.921299,34412,575306,15203,Fox Way,Pennsylvania,453200.0,2019,SingleFamily,1988
31,419153,2.0,2,PGH,NA,440111,1111,10/08/2019,09/08/1995,59000,40.429606,-79.987093,1881,398195,15203,Bingham Street,Pennsylvania,180000.0,2019,SingleFamily,NA
