,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,236301,2.0,4,PGH,1216,267020,2405,10/07/2019,08/13/2012,226500,40.42095,-79.973704,2868,198493,15203,Wellington Street,Pennsylvania,200000.0,2019,SingleFamily,1900
1,247151,1.5,3,PGH,1894,274338,3212,10/07/2019,11/15/2013,174500,40.421542,-79.962384,1260,219964,15203,Jane Street,Pennsylvania,174400.0,2019,SingleFamily,1885
2,,NA,0,PGH,NA,,73,01/01/1970,12/11/2002,45000,40.420685,-79.987835,5000,,15210,Mount Oliver Street,Pennsylvania,22500.0,2019,SingleFamily,NA
3,153144,2.0,3,PGH,2342,171521,2099,10/07/2019,08/14/2015,146750,40.423777,-79.978691,1100,124047,15203,Gregory Street,Pennsylvania,84800.0,2019,SingleFamily,1900
4,77243,1.0,2,PGH,1340,122044,2810,10/07/2019,NA,NA,40.418521,-79.968841,4000,48663,15203,Patterson Street,Pennsylvania,50000.0,2019,SingleFamily,1900
5,82096,1.0,2,PGH,1536,105083,2775,10/07/2019,05/09/2019,50000,40.419741,-79.987065,2129,45153,15210,South 18th Street,Pennsylvania,65900.0,2019,SingleFamily,1900
6,,1.0,2,PGH,1121,,1698,01/01/1970,NA,NA,40.420854,-79.983063,3530,,15210,Gable Street,Pennsylvania,31000.0,2019,SingleFamily,1900
7,41425,1.0,3,PGH,1260,45153,2629,10/07/2019,11/27/2018,40000,40.420376,-79.985957,2077,38111,15210,Quarry Way,Pennsylvania,69200.0,2019,SingleFamily,1900
8,351342,3.0,3,PGH,2628,386476,2516,10/07/2019,03/05/2018,330000,40.424163,-79.970777,3413,319721,15203,Josephine Street,Pennsylvania,245900.0,2019,Triplex,1925
9,152285,1.0,2,PGH,884,159899,1901,10/07/2019,NA,NA,40.422337,-79.980943,2500,144671,15203,Shamokin Street,Pennsylvania,38000.0,2019,SingleFamily,1900
10,51366,1.5,2,PGH,864,67289,3107,10/07/2019,07/10/1991,5500,40.419799,-79.964052,1677,34929,15203,Josephine Street,Pennsylvania,28900.0,2019,SingleFamily,1935
11,,1.0,2,PGH,1217,,2493,01/01/1970,03/22/1999,29900,40.423757,-79.972211,1890,,15203,Leticoe Street,Pennsylvania,44200.0,2019,SingleFamily,1900
12,,1.0,2,PGH,3072,,2767,01/01/1970,08/03/2006,30000,40.419794,-79.986768,3564,,15210,South 18th Street,Pennsylvania,50000.0,2019,Apartment,1900
13,71692,2.0,2,PGH,1124,93200,2019,10/07/2019,10/26/2007,65000,40.419582,-79.976666,2200,49467,15210,Salisbury Street,Pennsylvania,32700.0,2019,SingleFamily,1915
14,139437,2.0,1,PGH,1732,168719,2030,10/07/2019,07/07/2006,239000,40.421901,-79.979373,3326,110155,15203,South 18th Street,Pennsylvania,93900.0,2019,SingleFamily,1880
15,179723,1.5,3,PGH,1500,204884,143,10/07/2019,09/01/1998,42500,40.424443,-79.979555,1200,159953,15203,Pius Street,Pennsylvania,129000.0,2019,MultiFamily2To4,1890
16,168016,2.0,4,PGH,3135,188178,2453,10/07/2019,03/21/2017,150000,40.420201,-79.970991,4786,149534,15203,Cobden Street,Pennsylvania,142000.0,2019,Duplex,1900
17,,1.0,1,PGH,NA,,159,01/01/1970,NA,NA,40.424379,-79.979187,NA,,15203,Pius Street,Pennsylvania,NA,NA,Apartment,NA
18,174945,2.0,2,PGH,1320,206435,1500,10/07/2019,03/13/2006,212500,40.41838,-79.975985,1606,134708,15210,Fernleaf Street,Pennsylvania,171600.0,2019,SingleFamily,1894
19,166627,2.0,4,PGH,2156,196620,2028,10/07/2019,NA,NA,40.421972,-79.979104,1202,138300,15203,South 18th Street,Pennsylvania,104600.0,2019,Duplex,1900
20,180311,2.0,4,PGH,2065,200145,192,10/07/2019,05/14/2013,155000,40.423852,-79.978223,1785,162280,15203,Pius Street,Pennsylvania,129000.0,2019,SingleFamily,1920
21,81844,1.0,2,PGH,954,105579,500,10/07/2019,02/13/2001,60000,40.42137,-79.974203,6450,57291,15203,Sterling Street,Pennsylvania,71900.0,2019,SingleFamily,1896
22,314681,2.5,2,PGH,1304,349296,3205,10/07/2019,06/07/2017,286000,40.421033,-79.963374,7840,283213,15203,Mary Street,Pennsylvania,220400.0,2019,SingleFamily,1900
23,175943,2.0,3,PGH,1044,209372,3139,10/07/2019,12/02/2013,100000,40.421719,-79.963501,2616,138995,15203,Mary Street,Pennsylvania,95700.0,2019,SingleFamily,1890
24,,1.0,3,PGH,1481,,2113,01/01/1970,NA,NA,40.419561,-79.976518,2200,,15210,Salisbury Street,Pennsylvania,7200.0,2019,VacantResidentialLand,1925
25,,1.0,2,PGH,864,,2816,01/01/1970,03/30/1994,1750,40.417853,-79.968062,1370,,15210,Eccles Street,Pennsylvania,600.0,2019,SingleFamily,1910
26,141466,2.0,4,PGH,1870,165515,2930,10/07/2019,02/06/2014,65000,40.417876,-79.967233,8640,99026,15210,Salisbury Street,Pennsylvania,65000.0,2019,SingleFamily,1925
27,,1.0,2,PGH,1280,,2626,01/01/1970,NA,NA,40.422168,-79.969529,1822,,15203,Mission Street,Pennsylvania,46600.0,2019,SingleFamily,1900
28,,1.0,2,PGH,1856,,2134,01/01/1970,02/08/2007,12000,40.421269,-79.981321,2363,,15203,South 18th Street,Pennsylvania,86400.0,2019,Apartment,1905
29,104348,1.0,3,PGH,1420,137739,1499,10/07/2019,NA,NA,40.418434,-79.97249,2467,85565,15210,Eleanor Street,Pennsylvania,73300.0,2019,SingleFamily,1880
30,,NA,0,PGH,NA,,19,01/01/1970,NA,NA,40.423671,-79.981603,1514,,15203,Magdalene Street,Pennsylvania,4500.0,2019,SingleFamily,NA
31,,NA,0,PGH,NA,,2132,01/01/1970,NA,NA,40.417039,-79.976211,3125,,15210,Arlington Avenue,Pennsylvania,8100.0,2019,SingleFamily,NA
32,173751,1.5,3,PGH,1760,194601,3123,10/07/2019,07/17/1995,15222,40.421768,-79.963788,2617,149426,15203,Mary Street,Pennsylvania,104600.0,2019,SingleFamily,1910
33,74668,1.5,2,PGH,1050,88855,42,10/07/2019,09/01/2005,45000,40.420377,-79.987532,2500,47788,15210,Mount Oliver Street,Pennsylvania,66000.0,2019,SingleFamily,1890
34,61084,1.0,2,PGH,1360,80020,84,10/07/2019,08/15/1977,10000,40.420167,-79.987586,2500,40926,15210,Mount Oliver Street,Pennsylvania,20000.0,2019,SingleFamily,1900
35,,NA,0,PGH,NA,,1931,01/01/1970,NA,NA,40.42201,-79.980451,1432,,15203,Saint Paul Street,Pennsylvania,4300.0,2019,SingleFamily,NA
36,149928,1.5,3,PGH,1644,175416,2900,10/07/2019,06/07/1984,20000,40.419576,-79.967041,5937,121442,15203,Cobden Street,Pennsylvania,82700.0,2019,SingleFamily,1870
37,283783,2.0,3,PGH,1600,306486,138,10/07/2019,10/17/2018,275000,40.424256,-79.979826,1742,263918,15203,Pius Street,Pennsylvania,141400.0,2019,SingleFamily,1900
38,97799,1.0,1,PGH,948,123227,3127,10/07/2019,03/31/2005,53000,40.420684,-79.964977,2962,77261,15203,Mission Street,Pennsylvania,70700.0,2019,SingleFamily,1928
39,190417,3.5,4,PGH,1867,230405,52,10/07/2019,09/04/2007,37500,40.420068,-79.987736,2500,154238,15210,Mount Oliver Street,Pennsylvania,82600.0,2019,SingleFamily,1900
40,268710,2.5,4,PGH,2811,303642,2520,10/07/2019,12/15/2016,235000,40.421609,-79.984734,17959,239152,15210,South 18th Street,Pennsylvania,115400.0,2019,SingleFamily,1900
41,199457,3.0,3,PGH,1227,217408,2705,10/07/2019,04/10/2018,189400,40.42027,-79.969516,1600,181506,15203,Niles Street,Pennsylvania,126200.0,2019,SingleFamily,1900
42,191576,1.5,2,PGH,1472,214565,2831,10/07/2019,06/01/2017,174000,40.419642,-79.967871,1963,172418,15203,Cobden Street,Pennsylvania,63700.0,2019,SingleFamily,1920
43,105636,2.0,3,PGH,1300,141552,2401,10/07/2019,12/30/2008,90400,40.42011,-79.973841,2600,67607,15203,Berg Street,Pennsylvania,49000.0,2019,SingleFamily,1900
44,,1.0,2,PGH,336,,1611,01/01/1970,05/05/2009,24500,40.417852,-79.974189,1800,,15210,Sterling Street,Pennsylvania,29100.0,2019,SingleFamily,1901
45,,NA,0,PGH,NA,,131,01/01/1970,04/03/2002,200,40.423944,-79.985017,2000,,15203,Saint Joseph Way,Pennsylvania,6000.0,2019,SingleFamily,NA
46,75070,1.0,3,PGH,1890,98342,2700,10/07/2019,01/31/2008,52500,40.419173,-79.976993,4400,57804,15210,Salisbury Street,Pennsylvania,59600.0,2019,SingleFamily,1905
47,89606,1.0,4,PGH,1856,95878,2724,10/07/2019,03/04/2019,88000,40.421169,-79.980966,3342,84230,15210,South 18th Street,Pennsylvania,98600.0,2019,Condominium,1900
48,105636,2.0,3,PGH,1300,141552,2301,10/07/2019,12/30/2008,90400,40.42011,-79.973841,2600,67607,15203,Berg Street,Pennsylvania,49000.0,2019,SingleFamily,1900
49,171493,2.0,2,PGH,1200,186927,80,10/07/2019,06/07/2019,6500,40.422761,-79.970525,800,152629,15203,Barry Street,Pennsylvania,131600.0,2019,SingleFamily,1896
50,166886,1.0,3,PGH,1842,175230,96,10/07/2019,09/21/2018,100000,40.424318,-79.981323,1572,158542,15203,Pius Street,Pennsylvania,95300.0,2019,SingleFamily,1900
51,140263,1.0,3,PGH,2290,162705,2730,10/07/2019,NA,NA,40.418697,-79.986609,1943,115016,15210,South 18th Street,Pennsylvania,104900.0,2019,SingleFamily,1900
52,171131,1.5,2,PGH,1740,207069,3136,10/07/2019,NA,NA,40.422019,-79.963043,2616,147173,15203,Jane Street,Pennsylvania,72500.0,2019,SingleFamily,1890
53,,1.0,3,PGH,1061,,1938,01/01/1970,12/30/2009,21800,40.422106,-79.979726,3065,,15203,Shamokin Street,Pennsylvania,24500.0,2019,SingleFamily,1880
54,49421,2.0,4,PGH,1510,65236,2943,10/07/2019,05/02/2019,35000,40.417464,-79.966011,2904,32618,15210,Arlington Avenue,Pennsylvania,33400.0,2019,MultiFamily2To4,1927
55,160042,1.0,3,PGH,2191,177647,2031,10/07/2019,NA,NA,40.419058,-79.974115,1913,136036,15210,Salisbury Street,Pennsylvania,131700.0,2019,SingleFamily,1900
56,215510,3.0,3,PGH,2366,271543,110,10/07/2019,07/08/2003,73000,40.424269,-79.980813,1720,172408,15203,Pius Street,Pennsylvania,102600.0,2019,SingleFamily,1889
