,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,,1.0,3,PGH,1346,,2561,01/01/1970,07/31/2013,85000,40.473133,-79.988055,6225,,15212,Spring Garden Avenue,Pennsylvania,41900.0,2019,SingleFamily,1900
1,,1.5,3,PGH,2287,,1228,01/01/1970,08/28/1978,6000,40.460172,-79.990613,2500,,15212,Spring Garden Avenue,Pennsylvania,65900.0,2019,SingleFamily,1921
2,21344,1.0,3,PGH,1460,22838,1998,09/23/2019,11/07/2018,20500,40.468968,-79.986148,3113,20063,15212,Gebhart Street,Pennsylvania,35200.0,2019,SingleFamily,1920
3,,1.0,2,PGH,1540,,2701,01/01/1970,10/15/1998,22500,40.467931,-79.98409,6250,,15212,Spring Garden Avenue,Pennsylvania,46300.0,2019,SingleFamily,1900
4,,NA,0,PGH,NA,,1415,01/01/1970,NA,NA,40.462036,-79.986927,5225,,15212,Spring Garden Avenue,Pennsylvania,12000.0,2019,SingleFamily,NA
5,,NA,0,PGH,NA,,1399,01/01/1970,NA,NA,40.460566,-79.988225,2527,,15212,Spring Garden Avenue,Pennsylvania,800.0,2019,SingleFamily,NA
6,,1.0,2,PGH,1488,,2671,01/01/1970,NA,NA,40.474594,-79.988601,5480,,15212,Spring Garden Avenue,Pennsylvania,42700.0,2019,SingleFamily,1900
7,,NA,0,PGH,NA,,1133,01/01/1970,01/19/1999,2600,40.459033,-79.992463,3120,,15212,Voskamp Street,Pennsylvania,1000.0,2019,SingleFamily,NA
8,,0.5,3,PGH,1155,,1522,01/01/1970,08/06/1986,92000,40.461005,-79.98975,5625,,15212,High Street,Pennsylvania,18100.0,2019,SingleFamily,1890
9,,2.0,2,PGH,1992,,1176,01/01/1970,09/30/1981,8000,40.460443,-79.993013,7000,,15212,High Street,Pennsylvania,39900.0,2019,Duplex,1880
10,139097,2.0,3,PGH,3917,196127,1186,09/23/2019,12/04/1995,35000,40.467888,-79.985851,15000,97368,15212,Spring Garden Avenue,Pennsylvania,70000.0,2019,SingleFamily,1876
11,,NA,NA,PGH,NA,,1484,01/01/1970,NA,NA,40.464229,-79.986674,2300,,15212,High Street,Pennsylvania,800.0,2019,SingleFamily,NA
12,,1.0,1,PGH,600,,1290,01/01/1970,NA,NA,40.461512,-79.988891,NA,,15212,High Street,Pennsylvania,NA,NA,Apartment,NA
13,,1.0,3,PGH,855,,1266,01/01/1970,01/17/2003,10000,40.461553,-79.989288,13906,,15212,High Street,Pennsylvania,51900.0,2019,SingleFamily,1900
14,,NA,0,PGH,NA,,1138,01/01/1970,NA,NA,40.459884,-79.991898,5000,,15212,Spring Garden Avenue,Pennsylvania,6000.0,2019,SingleFamily,NA
15,166471,1.5,3,PGH,1628,186448,1185,09/23/2019,12/21/2004,95000,40.45953,-79.991561,1873,136506,15212,Voskamp Street,Pennsylvania,109500.0,2019,Townhouse,1995
16,102383,1.0,2,PGH,1346,133098,936,09/23/2019,02/09/2005,3000,40.459123,-79.995126,2794,67573,15212,Itin Street,Pennsylvania,74800.0,2019,SingleFamily,1874
17,,1.0,1,PGH,1166,,2626,01/01/1970,04/04/1986,10000,40.474703,-79.988674,8670,,15212,Spring Garden Avenue,Pennsylvania,14300.0,2019,SingleFamily,1900
18,,1.0,3,PGH,1320,,1019,01/01/1970,NA,NA,40.459004,-79.994591,1408,,15212,Salter Way,Pennsylvania,15000.0,2019,SingleFamily,1896
19,,1.0,3,PGH,1584,,1456,01/01/1970,08/16/2012,7000,40.463577,-79.987108,8798,,15212,Spring Garden Avenue,Pennsylvania,18300.0,2019,SingleFamily,1880
20,,1.0,3,PGH,798,,2480,01/01/1970,07/15/2009,12000,40.472314,-79.987456,3520,,15212,Spring Garden Avenue,Pennsylvania,22200.0,2019,SingleFamily,1900
21,40744,1.0,2,PGH,1228,57042,2539,09/23/2019,NA,NA,40.473483,-79.988267,1300,27706,15212,Spring Garden Avenue,Pennsylvania,27300.0,2019,SingleFamily,1940
22,,1.0,2,PGH,682,,1900,01/01/1970,01/26/2001,15000,40.468756,-79.986077,2973,,15212,Gebhart Street,Pennsylvania,30600.0,2019,SingleFamily,1920
23,,2.0,3,PGH,1938,,1385,01/01/1970,NA,NA,40.462419,-79.989314,5725,,15212,Diana Street,Pennsylvania,63700.0,2019,Duplex,1900
24,,1.0,3,PGH,1980,,1143,01/01/1970,NA,NA,40.459921,-79.991697,2500,,15212,Spring Garden Avenue,Pennsylvania,25500.0,2019,SingleFamily,1900
25,,1.0,4,PGH,2678,,1376,01/01/1970,NA,NA,40.460888,-79.988792,4500,,15212,Spring Garden Avenue,Pennsylvania,11400.0,2019,SingleFamily,1890
26,,1.0,1,PGH,600,,1298,01/01/1970,NA,NA,40.461512,-79.988891,NA,,15212,High Street,Pennsylvania,NA,NA,Apartment,NA
27,,1.0,2,PGH,612,,2679,01/01/1970,NA,NA,40.474534,-79.988789,2263,,15212,Spring Garden Avenue,Pennsylvania,17900.0,2019,SingleFamily,1900
28,,NA,NA,PGH,NA,,1362,01/01/1970,10/10/1995,15000,40.46107,-79.989369,3125,,15212,High Street,Pennsylvania,9400.0,2019,SingleFamily,NA
29,152473,3.0,3,PGH,2898,231759,1512,09/23/2019,11/02/2017,80000,40.464463,-79.986109,4516,99107,15212,Spring Garden Avenue,Pennsylvania,58700.0,2019,MultiFamily2To4,1875
30,,1.0,2,PGH,1408,,1149,01/01/1970,11/24/2008,9500,40.460585,-79.99202,3000,,15212,High Street,Pennsylvania,30200.0,2019,SingleFamily,1900
31,,1.5,3,PGH,720,,1211,01/01/1970,02/29/2008,12000,40.460491,-79.991258,1500,,15212,High Street,Pennsylvania,22800.0,2019,SingleFamily,1900
32,,1.0,1,PGH,1012,,1702,01/01/1970,04/16/2015,16500,40.466979,-79.985865,1364,,15212,Gebhart Street,Pennsylvania,17900.0,2019,SingleFamily,1890
33,,1.0,2,PGH,768,,1104,01/01/1970,NA,NA,40.45934,-79.992916,2165,,15212,Welser Way,Pennsylvania,12100.0,2019,SingleFamily,1880
34,,1.0,2,PGH,1088,,1313,01/01/1970,02/24/2000,19000,40.460349,-79.987894,4512,,15212,Tell Street,Pennsylvania,43000.0,2019,SingleFamily,1900
35,61065,2.0,0,PGH,1996,64729,2543,09/23/2019,10/11/2016,30000,40.473833,-79.988496,3798,58012,15212,Spring Garden Avenue,Pennsylvania,25500.0,2019,MultiFamily2To4,1920
36,,2.0,4,PGH,1704,,1700,01/01/1970,08/14/2014,34900,40.466961,-79.986437,2660,,15212,Haug Street,Pennsylvania,35000.0,2019,SingleFamily,1900
37,,1.0,2,PGH,1408,,1240,01/01/1970,11/13/1996,5000,40.461175,-79.990271,5482,,15212,High Street,Pennsylvania,36300.0,2019,SingleFamily,1900
38,58037,2.0,3,PGH,1912,87056,1257,09/23/2019,NA,NA,40.460816,-79.989585,1500,36563,15212,High Street,Pennsylvania,42300.0,2019,SingleFamily,1920
39,37424,1.0,2,PGH,1054,49025,1063,09/23/2019,04/03/2006,800,40.459489,-79.993193,1980,25823,15212,Spring Garden Avenue,Pennsylvania,24300.0,2019,SingleFamily,1900
40,,1.5,3,PGH,1469,,1261,01/01/1970,01/12/1990,20000,40.459595,-79.988625,5404,,15212,Voskamp Street,Pennsylvania,29000.0,2019,SingleFamily,1880
41,,1.0,2,PGH,1496,,1210,01/01/1970,12/11/1984,23900,40.460742,-79.991343,1500,,15212,High Street,Pennsylvania,29800.0,2019,SingleFamily,1900
42,,1.0,3,PGH,1782,,1300,01/01/1970,04/13/2000,5200,40.462282,-79.988469,1845,,15212,Firth Street,Pennsylvania,33900.0,2019,SingleFamily,1910
43,,2.5,4,PGH,2304,,73,01/01/1970,12/26/2013,61000,40.471322,-79.986845,7500,,15212,Schubert Street,Pennsylvania,42900.0,2019,Duplex,1900
44,,2.0,3,PGH,1700,,1015,01/01/1970,NA,NA,40.459832,-79.993924,2342,,15212,High Street,Pennsylvania,19500.0,2019,SingleFamily,1880
45,,NA,0,PGH,NA,,1308,01/01/1970,NA,NA,40.460446,-79.988277,1176,,15212,Tell Street,Pennsylvania,1400.0,2019,SingleFamily,NA
46,,1.0,3,PGH,2430,,1560,01/01/1970,08/28/1984,2000,40.464353,-79.986131,4471,,15212,Spring Garden Avenue,Pennsylvania,23900.0,2019,SingleFamily,1929
