,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,794202,2.0,5,PGH,2700,881564,1330,10/06/2019,06/30/2017,727000,40.442491,-79.931645,8398,714782,15217,Inverness Street,Pennsylvania,635400.0,2019,SingleFamily,1929
1,2122707,5.5,10,PGH,7640,2313751,5585,10/06/2019,05/08/2018,2040500,40.438933,-79.928871,23702,1952890,15217,Aylesboro Avenue,Pennsylvania,1275000.0,2019,SingleFamily,1914
2,829453,3.5,3,PGH,3554,945576,6511,10/06/2019,01/22/1975,60500,40.439296,-79.930414,8079,754802,15217,Aylesboro Avenue,Pennsylvania,530200.0,2019,SingleFamily,1920
3,499066,2.5,3,PGH,2731,578917,1150,10/06/2019,NA,NA,40.446076,-79.929024,3065,419215,15217,Wightman Street,Pennsylvania,190000.0,2019,SingleFamily,1907
4,343672,2.5,3,PGH,1654,398660,5030,10/06/2019,NA,NA,40.447271,-79.940875,NA,305868,15232,Fifth Avenue,Pennsylvania,NA,NA,Townhouse,NA
5,,1.0,3,PGH,800,,5506,01/01/1970,NA,NA,40.448618,-79.932027,NA,,15232,Fifth Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
6,875100,3.0,5,PGH,3409,1067622,5340,10/06/2019,11/07/1985,270000,40.44267,-79.933626,10280,761337,15217,Maynard Street,Pennsylvania,581800.0,2019,SingleFamily,1931
7,481463,2.0,4,PGH,1852,544053,5463,10/06/2019,03/02/2016,380000,40.445831,-79.931091,4950,418873,15217,Wilkins Avenue,Pennsylvania,314600.0,2019,SingleFamily,1900
8,460353,5.0,7,PGH,3712,510992,1144,10/06/2019,07/10/2017,421603,40.446755,-79.928137,6394,414318,15217,South Negley Avenue,Pennsylvania,464700.0,2019,SingleFamily,1906
9,402548,1.0,3,PGH,1574,450854,1183,10/06/2019,NA,NA,40.446413,-79.929242,4194,350217,15217,Wightman Street,Pennsylvania,189900.0,2019,SingleFamily,1900
10,298275,1.0,2,PGH,900,328102,5267 #1,10/06/2019,NA,NA,40.447383,-79.934857,NA,262482,15232,Wilkins Avenue,Pennsylvania,NA,NA,Townhouse,NA
11,793524,4.0,5,PGH,3699,872876,5401,10/06/2019,07/01/2002,490000,40.444535,-79.933606,9660,714172,15217,Fair Oaks Street,Pennsylvania,410500.0,2019,SingleFamily,1930
12,463279,1.0,3,PGH,2170,518872,5655,10/06/2019,10/03/1995,94000,40.438292,-79.925656,3564,416951,15217,Forbes Avenue,Pennsylvania,238700.0,2019,SingleFamily,1928
13,,1.0,1,PGH,NA,,5440,01/01/1970,NA,NA,40.44823,-79.93257,NA,,15232,Fifth Avenue,Pennsylvania,NA,NA,Apartment,NA
