,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,139088,1.5,3,PGH,992,154388,3648,10/07/2019,11/01/1999,77000,40.487873,-80.005338,4797,123788,15214,Colby Street,Pennsylvania,77800.0,2019,SingleFamily,1950
1,188219,1.0,2,PGH,1852,227745,3814,10/07/2019,01/25/1989,92000,40.49204,-80.004589,272250,154340,15214,Harpen Road,Pennsylvania,119100.0,2019,SingleFamily,1879
2,154596,1.0,3,PGH,1221,173148,3761,10/07/2019,09/09/1999,45000,40.489652,-80.007554,39291,134499,15214,Colby Street,Pennsylvania,91600.0,2019,SingleFamily,1960
3,107256,1.0,2,PGH,1000,127635,4234,10/07/2019,10/02/2013,63000,40.494825,-80.006966,5364,77224,15214,Evergreen Road,Pennsylvania,69300.0,2019,SingleFamily,1930
4,185663,2.0,4,PGH,2512,206086,301,10/07/2019,10/30/2017,170000,40.497103,-80.011997,9648,167097,15214,Ivory Avenue,Pennsylvania,128700.0,2019,SingleFamily,1938
5,137861,1.0,3,PGH,1152,154404,3816,10/07/2019,09/24/1993,50000,40.490896,-80.004492,98402,119939,15214,Harpen Road,Pennsylvania,86000.0,2019,SingleFamily,1930
6,119821,1.0,2,PGH,1066,142587,4138,10/07/2019,09/09/2008,62900,40.493906,-80.008469,18034,99451,15214,Evergreen Road,Pennsylvania,65600.0,2019,SingleFamily,1950
7,135989,2.0,3,PGH,1968,142788,311,10/07/2019,NA,NA,40.497063,-80.011578,7753,129190,15214,Ivory Avenue,Pennsylvania,87000.0,2019,SingleFamily,1925
8,131009,1.0,2,PGH,999,150660,4156,10/07/2019,03/27/1990,55250,40.493839,-80.007874,8264,107427,15214,Evergreen Road,Pennsylvania,74800.0,2019,SingleFamily,1950
9,149045,1.5,3,PGH,1126,163949,3756,10/07/2019,09/08/1977,45000,40.489425,-80.00653,5229,129669,15214,Colby Street,Pennsylvania,88800.0,2019,SingleFamily,1950
10,219511,2.5,4,PGH,2390,261218,334,10/07/2019,NA,NA,40.496496,-80.010787,17814,182194,15214,Ivory Avenue,Pennsylvania,125000.0,2019,SingleFamily,1952
11,145062,1.5,3,PGH,1284,165371,3552,10/07/2019,12/07/1999,64000,40.485843,-80.005615,12518,124753,15214,Sirius Street,Pennsylvania,80300.0,2019,SingleFamily,1950
12,121822,1.0,4,PGH,1426,147405,224,10/07/2019,05/21/1996,34732,40.483314,-80.005281,10730,75530,15214,Ames Street,Pennsylvania,62000.0,2019,SingleFamily,1926
13,202713,1.5,3,PGH,1830,222984,358,10/07/2019,11/08/1993,62500,40.489828,-80.004385,16000,180415,15214,Chapin Street,Pennsylvania,127500.0,2019,SingleFamily,1962
14,131476,1.0,3,PGH,780,145938,4232,10/07/2019,06/07/1994,52000,40.494669,-80.006839,12177,113069,15214,Evergreen Road,Pennsylvania,74200.0,2019,SingleFamily,1950
15,106726,1.0,2,PGH,708,128071,3708,10/07/2019,06/06/2016,114900,40.488474,-80.00577,6000,82179,15214,Colby Street,Pennsylvania,67500.0,2019,SingleFamily,1950
16,164399,1.5,2,PGH,1581,182483,3628,10/07/2019,06/19/2007,89650,40.487223,-80.005106,6000,144671,15214,Colby Street,Pennsylvania,102300.0,2019,SingleFamily,1950
17,152347,1.5,3,PGH,1224,169105,4132,10/07/2019,11/29/1993,45000,40.494316,-80.005179,19166,135589,15214,Harpen Road,Pennsylvania,91100.0,2019,SingleFamily,1950
18,120689,1.0,2,PGH,1197,142413,3541,10/07/2019,05/05/2008,58900,40.485581,-80.006137,6119,92931,15214,Sirius Street,Pennsylvania,74500.0,2019,SingleFamily,1928
19,145949,1.5,3,PGH,1326,162003,3537,10/07/2019,NA,NA,40.485444,-80.00605,4235,125516,15214,Sirius Street,Pennsylvania,89000.0,2019,SingleFamily,1930
20,140883,2.0,4,PGH,1320,166242,3529,10/07/2019,NA,NA,40.485226,-80.006009,827,109889,15214,Sirius Street,Pennsylvania,76500.0,2019,SingleFamily,1958
21,117830,1.0,2,PGH,1238,130791,4433,10/07/2019,09/22/1976,32900,40.497047,-80.014298,3638,96621,15214,Nelson Run Road,Pennsylvania,77400.0,2019,SingleFamily,1920
22,182644,1.5,3,PGH,2131,210041,3505,10/07/2019,10/12/1977,34500,40.484608,-80.005733,4000,155247,15214,Sirius Street,Pennsylvania,123400.0,2019,SingleFamily,1930
23,128001,1.5,2,PGH,1197,147201,3603,10/07/2019,08/27/1979,40700,40.48641,-80.005365,7191,102401,15214,Colby Street,Pennsylvania,86100.0,2019,SingleFamily,1900
24,,2.0,3,PGH,1332,,4020,01/01/1970,04/02/2003,87000,40.488175,-80.041198,6368,,15214,Parkway North,Pennsylvania,95700.0,2019,SingleFamily,1930
25,103946,1.0,3,PGH,1408,128893,243,10/07/2019,02/23/1984,37500,40.483472,-80.004841,5894,65486,15214,Mount Pleasant Road,Pennsylvania,60100.0,2019,SingleFamily,1930
26,,NA,0,PGH,NA,,3772,01/01/1970,NA,NA,40.490004,-80.006655,63510,,15214,Colby Street,Pennsylvania,35400.0,2019,SingleFamily,NA
