,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,188345,1.0,3,PGH,1150,265566,2520,10/01/2019,01/10/2008,32500,40.442845,-79.967423,20000,131842,15213,Wadsworth Street,Pennsylvania,112000.0,2019,SingleFamily,1900
1,,1.0,1,PGH,609,,444,01/01/1970,NA,NA,40.448622,-79.999355,NA,,15219,Morgan Street,Pennsylvania,NA,NA,Apartment,NA
2,,1.0,3,PGH,1320,,2573,01/01/1970,NA,NA,40.445681,-79.967754,2283,,15219,Brackenridge Street,Pennsylvania,12000.0,2019,SingleFamily,1945
3,,1.0,3,PGH,1160,,2575,01/01/1970,12/27/2007,5000,40.445731,-79.967698,1803,,15219,Brackenridge Street,Pennsylvania,43000.0,2019,SingleFamily,1950
4,,NA,0,PGH,NA,,2096,01/01/1970,NA,NA,40.443685,-79.976993,1930,,15219,Rose Street,Pennsylvania,3900.0,2017,SingleFamily,NA
5,89996,2.0,3,PGH,1200,105295,127,10/01/2019,12/10/2014,79000,40.454261,-79.832424,6159,75597,15213,Oak Hill Drive,Pennsylvania,75900.0,2019,SingleFamily,1950
6,69908,1.0,2,PGH,1040,102066,2555,10/01/2019,08/25/2004,7800,40.445501,-79.968141,3425,47537,15219,Brackenridge Street,Pennsylvania,44700.0,2019,SingleFamily,1945
7,,NA,NA,PGH,NA,,251,01/01/1970,NA,NA,40.444296,-79.974792,2172,,15219,Kirkpatrick Street,Pennsylvania,6600.0,2019,SingleFamily,NA
8,,2.0,6,PGH,1428,,2348,01/01/1970,05/22/1981,6700,40.445199,-79.971942,1544,,15219,Reed Street,Pennsylvania,13100.0,2019,SingleFamily,1920
9,,NA,0,PGH,NA,,2314,01/01/1970,03/18/2016,3900,40.444971,-79.971351,4000,,15219,Reed Street,Pennsylvania,8000.0,2019,SingleFamily,NA
10,,1.0,3,PGH,1800,,526,01/01/1970,05/19/2016,12500,40.449772,-79.88402,4057,,15213,Oak Hill Court,Pennsylvania,37000.0,2019,SingleFamily,1920
11,60862,1.0,2,PGH,1080,74860,2635,10/01/2019,05/31/2013,20375,40.446707,-79.966955,1803,40778,15219,Brackenridge Street,Pennsylvania,34300.0,2019,SingleFamily,1930
12,98671,1.0,3,PGH,1239,118405,2567,10/01/2019,08/06/2014,50000,40.445595,-79.967898,2283,72030,15219,Brackenridge Street,Pennsylvania,64800.0,2019,SingleFamily,1951
13,,1.0,2,PGH,1840,,578,01/01/1970,NA,NA,40.451289,-79.884363,4387,,15213,Oak Hill Court,Pennsylvania,23800.0,2019,SingleFamily,1930
14,,1.0,2,PGH,884,,455,01/01/1970,NA,NA,40.449093,-79.967903,1449,,15219,Morgan Street,Pennsylvania,17600.0,2019,SingleFamily,1900
15,,NA,0,PGH,NA,,2786,01/01/1970,NA,NA,40.44774,-79.967047,5737,,15219,Centre Avenue,Pennsylvania,20100.0,2019,SingleFamily,NA
16,51943,1.0,2,PGH,1080,73240,2615,10/01/2019,02/07/1997,10259,40.446952,-79.966546,1783,36880,15219,Brackenridge Street,Pennsylvania,34400.0,2019,SingleFamily,1930
17,103254,1.0,3,PGH,1216,123905,3162,10/01/2019,05/06/2002,35000,40.447982,-79.959887,4800,77440,15219,Avalon Street,Pennsylvania,52800.0,2019,SingleFamily,1929
18,57106,1.0,2,PGH,1080,80519,2605,10/01/2019,NA,NA,40.446801,-79.9668,1798,40545,15219,Brackenridge Street,Pennsylvania,34300.0,2019,SingleFamily,1930
