,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,159027,1.5,3,PGH,1464,184471,787,09/25/2019,10/06/2005,133000,40.453431,-79.959995,3395,133583,15219,Clarissa Street,Pennsylvania,95000.0,2019,SingleFamily,2005
1,367937,2.0,4,PGH,3388,412089,4455,09/25/2019,03/25/1988,111000,40.450431,-79.956269,7004,331143,15213,Schenley Farms Terrace,Pennsylvania,219400.0,2019,SingleFamily,1920
2,,NA,0,PGH,NA,,3598,01/01/1970,NA,NA,40.458055,-79.958287,2240,,15213,Ridgway Street,Pennsylvania,4500.0,2019,SingleFamily,NA
3,241255,2.0,6,PGH,2700,270206,4315,09/25/2019,09/19/1988,85000,40.45229,-79.95595,5061,200242,15213,Dakota Street,Pennsylvania,147800.0,2019,Duplex,1928
4,191135,1.0,3,PGH,1881,223628,4361,09/25/2019,06/17/2003,67100,40.453188,-79.955365,4412,166287,15213,Dakota Street,Pennsylvania,85000.0,2019,SingleFamily,1958
5,148047,1.0,4,PGH,2241,165813,755,09/25/2019,12/07/1985,14000,40.451795,-79.961222,2400,128801,15219,Cherokee Street,Pennsylvania,87100.0,2019,SingleFamily,1935
6,,NA,0,PGH,NA,,3698,01/01/1970,NA,NA,40.458055,-79.958287,2240,,15213,Ridgway Street,Pennsylvania,4500.0,2019,SingleFamily,NA
7,,2.0,2,PGH,1448,,3485,01/01/1970,07/22/1999,8500,40.454824,-79.962608,2833,,15219,Webster Avenue,Pennsylvania,40000.0,2019,SingleFamily,1930
8,153075,2.5,5,PGH,2011,169913,916,09/25/2019,06/30/2017,137000,40.450579,-79.958768,2600,137768,15219,Cherokee Street,Pennsylvania,88700.0,2019,SingleFamily,1936
9,57758,NA,0,PGH,3648,62379,815,09/25/2019,07/19/2018,55000,40.453154,-79.959182,3998,53715,15219,Clarissa Street,Pennsylvania,81600.0,2019,MultiFamily2To4,1920
10,114187,1.0,2,PGH,912,135883,3528,09/25/2019,03/05/2002,58000,40.456527,-79.958283,5000,89066,15219,Webster Avenue,Pennsylvania,62500.0,2019,SingleFamily,1965
11,,3.0,3,PGH,1430,,898,01/01/1970,NA,NA,40.450626,-79.961005,5022,,15219,Shawnee Street,Pennsylvania,20000.0,2019,SingleFamily,1923
12,110626,1.0,2,PGH,1296,140495,3424,09/25/2019,10/23/1980,6000,40.45602,-79.961565,2222,81863,15213,Monroe Street,Pennsylvania,53600.0,2019,SingleFamily,1930
13,,1.0,3,PGH,1084,,876,01/01/1970,NA,NA,40.450579,-79.960719,3533,,15219,Shawnee Street,Pennsylvania,17100.0,2019,SingleFamily,1935
14,,1.0,2,PGH,840,,778,01/01/1970,05/11/2007,9213,40.451964,-79.96102,944,,15219,Anaheim Street,Pennsylvania,1200.0,2019,SingleFamily,1920
15,372136,4.0,7,PGH,4507,547040,3400,09/25/2019,10/07/2015,82000,40.452158,-79.95651,6300,260495,15219,Iowa Street,Pennsylvania,139400.0,2019,Duplex,1925
16,172131,2.0,2,PGH,1690,206557,3449,09/25/2019,NA,NA,40.457543,-79.959909,1342,149754,15213,Ridgway Street,Pennsylvania,50700.0,2019,SingleFamily,1900
17,,1.0,4,PGH,1377,,894,01/01/1970,09/15/2016,25000,40.452272,-79.960162,1125,,15219,Bryn Mawr Road,Pennsylvania,20900.0,2019,SingleFamily,1900
18,,1.0,2,PGH,1036,,643,01/01/1970,NA,NA,40.451632,-79.963648,2473,,15219,Ossipee Street,Pennsylvania,27400.0,2019,SingleFamily,1920
19,,2.0,6,PGH,1632,,769,01/01/1970,09/04/2009,2750,40.452928,-79.960392,6600,,15219,Bryn Mawr Road,Pennsylvania,6000.0,2019,MultiFamily2To4,1915
20,163970,2.0,3,PGH,1690,190205,3300,09/25/2019,04/18/2013,80000,40.456366,-79.961794,5132,142654,15213,Ridgway Street,Pennsylvania,69100.0,2019,SingleFamily,1900
21,,NA,0,PGH,NA,,836,01/01/1970,NA,NA,40.451387,-79.959302,2400,,15219,Anaheim Street,Pennsylvania,4800.0,2019,SingleFamily,NA
22,,2.0,4,PGH,1408,,3477,01/01/1970,NA,NA,40.456089,-79.959109,2267,,15219,Milwaukee Street,Pennsylvania,33000.0,2019,SingleFamily,1920
23,327908,2.5,4,PGH,2600,363978,755,09/25/2019,NA,NA,40.455415,-79.957038,10800,295117,15219,Finland Street,Pennsylvania,190200.0,2019,SingleFamily,1935
24,,2.0,4,PGH,1773,,801,01/01/1970,08/15/1977,25000,40.452109,-79.960436,1744,,15219,Anaheim Street,Pennsylvania,13500.0,2019,SingleFamily,1900
25,,NA,0,PGH,NA,,3517,01/01/1970,NA,NA,40.450046,-79.971986,996,,15219,Webster Avenue,Pennsylvania,2000.0,2019,SingleFamily,NA
26,83883,1.0,3,PGH,1512,130019,950,09/25/2019,01/19/2000,41000,40.45345,-79.957714,1904,54524,15219,Adelaide Street,Pennsylvania,44000.0,2019,SingleFamily,1925
27,215390,2.0,3,PGH,1930,245545,4261,09/25/2019,11/08/2016,212500,40.450796,-79.956654,4163,183082,15213,Andover Terrace,Pennsylvania,91600.0,2019,SingleFamily,1922
28,118881,1.0,2,PGH,1268,146224,713,09/25/2019,12/12/2000,45000,40.452508,-79.959671,2500,87972,15219,Bryn Mawr Road,Pennsylvania,67100.0,2019,SingleFamily,1900
29,135511,2.0,2,PGH,1024,151772,3017,09/25/2019,12/29/2011,54500,40.448894,-79.958335,6742,116539,15219,Iowa Street,Pennsylvania,75100.0,2019,SingleFamily,1960
30,,1.5,4,PGH,1820,,893,01/01/1970,10/09/2008,53000,40.452644,-79.960116,3647,,15219,Bryn Mawr Road,Pennsylvania,49000.0,2019,SingleFamily,1920
31,92929,1.0,3,PGH,1446,151474,577,09/25/2019,NA,NA,40.456945,-79.956541,2000,46464,15213,Blessing Street,Pennsylvania,42800.0,2019,SingleFamily,1910
