,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,155668,1.5,3,PGH,1344,163451,35,10/06/2019,05/29/2019,156000,40.548588,-80.025378,1392,147885,15201,McCandless Avenue,Pennsylvania,108600.0,2019,Condominium,1953
1,335982,2.0,2,PGH,1280,379660,41,10/06/2019,07/07/2010,55000,40.481766,-79.95401,1728,288945,15201,McCandless Avenue,Pennsylvania,68300.0,2019,SingleFamily,1900
2,,1.0,2,PGH,1300,,4017,01/01/1970,NA,NA,40.46929,-79.961846,NA,,15201,Butler Street,Pennsylvania,NA,NA,Apartment,NA
3,245520,1.5,3,PGH,1080,299534,5201,10/06/2019,NA,NA,40.478137,-79.950623,2000,206237,15201,Wickliff Street,Pennsylvania,51000.0,2019,SingleFamily,1900
4,478207,2.5,3,PGH,2700,569066,173,10/06/2019,12/02/2015,432000,40.47219,-79.960504,2400,435168,15201,54th Street,Pennsylvania,376300.0,2019,Townhouse,1900
5,,1.0,2,PGH,800,,5257,01/01/1970,NA,NA,40.481003,-79.951779,2744,,15201,Natrona Way,Pennsylvania,50000.0,2019,Apartment,1900
6,656402,3.5,4,PGH,2954,689222,5121,10/06/2019,08/02/2018,82500,40.477991,-79.953953,1999,623582,15201,Keystone Street,Pennsylvania,24500.0,2019,SingleFamily,2018
7,227198,2.0,2,PGH,2181,272638,5187,10/06/2019,03/03/1987,30000,40.477649,-79.950755,1540,174942,15201,Stanton Avenue,Pennsylvania,63200.0,2019,SingleFamily,1900
8,180941,1.5,2,PGH,1752,197226,5408,10/06/2019,06/01/2018,175000,40.482334,-79.950012,1999,166466,15201,Carnegie Street,Pennsylvania,65200.0,2019,SingleFamily,1900
9,165902,1.0,2,PGH,680,202400,5360,10/06/2019,04/10/2014,8000,40.479491,-79.94994,2160,131063,15201,Duncan Street,Pennsylvania,33900.0,2019,SingleFamily,1900
10,290709,2.5,3,PGH,1908,328501,5356,10/06/2019,02/06/2019,222500,40.478999,-79.949369,4634,232567,15201,Wickliff Street,Pennsylvania,107800.0,2019,SingleFamily,1900
11,275830,2.0,3,PGH,1705,328238,5228,10/06/2019,04/07/2006,5000,40.478652,-79.950215,2000,217906,15201,Poe Way,Pennsylvania,60500.0,2019,SingleFamily,1910
12,,1.0,1,PGH,1000,,5398,01/01/1970,NA,NA,40.482234,-79.952097,NA,,15201,Butler Street,Pennsylvania,NA,NA,Apartment,NA
13,351629,1.0,4,PGH,1882,397341,5142,10/06/2019,09/02/1999,42000,40.478309,-79.953175,1900,323499,15201,Keystone Street,Pennsylvania,213000.0,2019,SingleFamily,1900
14,424798,2.5,4,PGH,2040,458782,5161,10/06/2019,08/06/2018,414000,40.477581,-79.953157,5307,390814,15201,Stanton Avenue,Pennsylvania,223000.0,2019,SingleFamily,1916
15,296348,1.0,3,PGH,1986,334873,5167,10/06/2019,12/16/2015,114500,40.477792,-79.952092,1520,219298,15201,Stanton Avenue,Pennsylvania,51700.0,2019,SingleFamily,1900
16,247473,2.0,3,PGH,1900,267271,23,10/06/2019,09/23/2010,43000,40.548511,-80.027394,30154,225200,15201,McCandless Avenue,Pennsylvania,145000.0,2019,SingleFamily,1977
17,175772,1.0,2,PGH,1789,212684,211,10/06/2019,08/01/2002,52900,40.484047,-79.947444,3030,144133,15201,56th Street,Pennsylvania,60100.0,2019,SingleFamily,1900
18,332549,2.0,3,PGH,1616,379106,5315,10/06/2019,09/24/1984,36000,40.482046,-79.951416,2000,289318,15201,Carnegie Street,Pennsylvania,50500.0,2019,SingleFamily,1900
19,188400,2.0,4,PGH,1500,235500,5346,10/06/2019,12/21/2010,72000,40.481539,-79.949718,3220,152604,15201,Keystone Street,Pennsylvania,66300.0,2019,Townhouse,1900
20,263313,1.0,3,PGH,1280,315976,5205,10/06/2019,07/11/2013,75008,40.478589,-79.951437,2100,200118,15201,Duncan Street,Pennsylvania,56000.0,2019,SingleFamily,1900
21,151460,1.0,3,PGH,1248,181752,208,10/06/2019,02/04/1997,29000,40.484246,-79.945615,2000,119653,15201,57th Street,Pennsylvania,52900.0,2019,SingleFamily,1920
22,147896,1.0,4,PGH,2048,183391,5635,10/06/2019,NA,NA,40.485284,-79.94749,3200,112401,15201,Harrison Street,Pennsylvania,54500.0,2019,SingleFamily,1900
23,271042,6.0,6,PGH,3646,336092,401,10/06/2019,NA,NA,40.479744,-79.953285,1926,200571,15201,52nd Street,Pennsylvania,112100.0,2019,Triplex,1920
24,336707,3.0,4,PGH,1596,353542,5163,10/06/2019,02/11/2008,2500,40.478347,-79.952423,3001,319872,15201,Holmes Street,Pennsylvania,62400.0,2019,SingleFamily,1900
25,274709,2.0,4,PGH,1680,351628,5190,10/06/2019,NA,NA,40.47873,-79.955755,2000,222514,15201,Butler Street,Pennsylvania,53800.0,2019,SingleFamily,1920
26,173520,1.0,3,PGH,999,196078,5601,10/06/2019,05/18/2012,76400,40.481764,-79.94476,5000,154433,15201,Celadine Street,Pennsylvania,97600.0,2019,SingleFamily,1955
27,676763,4.0,3,PGH,2120,710601,5222,10/06/2019,11/21/2018,50000,40.479865,-79.952127,2090,642925,15201,Keystone Street,Pennsylvania,24900.0,2019,SingleFamily,2019
28,299839,1.5,4,PGH,2268,359807,5143,10/06/2019,01/31/2006,85000,40.47942,-79.950649,2240,245868,15201,Duncan Street,Pennsylvania,100000.0,2019,MultiFamily2To4,1900
29,236890,1.0,3,PGH,1280,265317,5246,10/06/2019,05/28/2010,109000,40.479922,-79.950855,2100,208463,15201,Holmes Street,Pennsylvania,83600.0,2019,SingleFamily,1925
30,171418,2.0,2,PGH,1120,191988,5166,10/06/2019,04/20/2017,155000,40.479511,-79.953582,976,152562,15201,Carnegie Street,Pennsylvania,42200.0,2019,SingleFamily,1917
31,142851,1.0,2,PGH,1050,207134,1,10/06/2019,NA,NA,40.479981,-79.951381,NA,81425,15201,McCandless Avenue,Pennsylvania,NA,NA,Townhouse,NA
32,329482,1.0,3,PGH,1692,359135,5100,10/06/2019,08/08/2012,32000,40.479396,-79.95265,1300,299829,15201,Keystone Street,Pennsylvania,54700.0,2019,SingleFamily,1900
33,225815,2.0,2,PGH,1296,243880,5241,10/06/2019,09/11/2018,220000,40.480868,-79.953012,2260,207750,15201,Carnegie Street,Pennsylvania,73400.0,2019,SingleFamily,1900
34,354998,1.0,3,PGH,2235,404698,5370,10/06/2019,03/15/2007,63600,40.48139,-79.951775,2000,323048,15201,Carnegie Street,Pennsylvania,60000.0,2019,SingleFamily,1900
35,322500,1.5,5,PGH,2202,367650,5136,10/06/2019,08/21/2000,18000,40.478244,-79.9533,2000,258000,15201,Keystone Street,Pennsylvania,91600.0,2019,SingleFamily,1900
36,274116,4.0,4,PGH,3052,353610,101,10/06/2019,12/26/2012,54405,40.473568,-79.962411,2100,216552,15201,54th Street,Pennsylvania,128600.0,2019,Quadruplex,1900
37,164740,1.0,2,PGH,1641,237226,5273,10/06/2019,07/30/1997,22000,40.477737,-79.951897,1320,131792,15201,Stanton Avenue,Pennsylvania,15000.0,2019,SingleFamily,1900
38,191832,0.5,2,PGH,1244,232117,5232,10/06/2019,11/12/2013,52300,40.478913,-79.950522,2100,166894,15201,Duncan Street,Pennsylvania,65200.0,2019,SingleFamily,1900
39,330657,2.0,4,PGH,1469,370336,5275,10/06/2019,03/02/2017,295000,40.480315,-79.953491,1141,294285,15201,Carnegie Street,Pennsylvania,250000.0,2019,SingleFamily,1917
40,,1.0,2,PGH,896,,5253,01/01/1970,01/30/2018,15000,40.480497,-79.952665,572,,15201,Natrona Way,Pennsylvania,300.0,2019,SingleFamily,1900
41,159934,2.0,3,PGH,1206,198318,226,10/06/2019,06/15/2012,56500,40.48383,-79.945148,2000,121550,15201,57th Street,Pennsylvania,63400.0,2019,SingleFamily,1900
42,194048,1.0,2,PGH,936,242560,121,10/06/2019,08/11/2004,125000,40.480804,-79.952018,771,157179,15201,McCandless Avenue,Pennsylvania,30000.0,2019,SingleFamily,1920
43,337380,2.0,4,PGH,1734,381239,5122,10/06/2019,NA,NA,40.47805,-79.954969,585,293521,15201,Stanton Avenue,Pennsylvania,74900.0,2019,SingleFamily,1900
44,222997,1.0,2,PGH,960,296586,5451,10/06/2019,NA,NA,40.482678,-79.95015,658,173938,15201,Carnegie Street,Pennsylvania,39900.0,2019,SingleFamily,1900
45,152887,1.0,1,PGH,864,189580,5446,10/06/2019,10/30/1984,23000,40.482791,-79.949212,2000,117723,15201,Carnegie Street,Pennsylvania,55700.0,2019,SingleFamily,1890
46,138950,1.0,2,PGH,1024,173688,5625,10/06/2019,05/17/2012,5000,40.485131,-79.947869,1500,91707,15201,Harrison Street,Pennsylvania,36500.0,2019,SingleFamily,1900
47,268749,2.0,4,PGH,2640,335936,5128,10/06/2019,07/30/2010,38988,40.47848,-79.954135,2000,214999,15201,Carnegie Street,Pennsylvania,96500.0,2019,Duplex,1900
48,192938,1.0,2,PGH,990,223808,5135,10/06/2019,10/03/2013,60000,40.47886,-79.954412,860,158209,15201,Carnegie Street,Pennsylvania,50100.0,2019,SingleFamily,1900
49,296623,3.0,6,PGH,3240,341116,5299,10/06/2019,10/05/1976,11000,40.48023,-79.953561,4520,234332,15201,Carnegie Street,Pennsylvania,145200.0,2019,Quadruplex,1900
50,414678,2.0,3,PGH,2480,447852,5137,10/06/2019,09/10/2018,404000,40.478894,-79.954362,1398,381504,15201,Carnegie Street,Pennsylvania,269700.0,2019,SingleFamily,1900
51,215690,1.0,3,PGH,1158,232945,236,10/06/2019,11/13/2018,210000,40.483608,-79.944898,2000,200592,15201,57th Street,Pennsylvania,187500.0,2019,SingleFamily,1900
52,,1.0,2,PGH,1319,,5382,01/01/1970,NA,NA,40.482302,-79.951137,598,,15201,Dresden Way,Pennsylvania,19600.0,2019,SingleFamily,1900
53,140818,1.0,2,PGH,1024,170390,5623,10/06/2019,NA,NA,40.485091,-79.947906,1800,108430,15201,Harrison Street,Pennsylvania,44800.0,2019,SingleFamily,1900
54,462487,2.1,3,PGH,1664,504111,5158,10/06/2019,07/09/2018,450000,40.478737,-79.953019,2178,425488,15201,Keystone Street,Pennsylvania,268100.0,2019,SingleFamily,1900
55,185953,1.0,3,PGH,1744,225003,244,10/06/2019,12/09/2004,28000,40.483674,-79.944881,2000,145043,15201,57th Street,Pennsylvania,55000.0,2019,SingleFamily,1900
56,,1.0,2,PGH,NA,,5226,01/01/1970,NA,NA,40.47866,-79.95483,NA,,15201,Dresden Way,Pennsylvania,NA,NA,Townhouse,NA
57,171329,1.0,2,PGH,1024,231294,5339,10/06/2019,09/28/1998,10000,40.479576,-79.95106,1060,143916,15201,Lotus Way,Pennsylvania,25000.0,2019,SingleFamily,1900
58,176382,1.5,3,PGH,1829,225769,5661,10/06/2019,NA,NA,40.484264,-79.946916,2000,144633,15201,Donson Way,Pennsylvania,45200.0,2019,SingleFamily,1900
59,289041,2.0,4,PGH,1916,349740,5118,10/06/2019,12/04/2007,55500,40.477757,-79.9535,2000,231233,15201,Keystone Street,Pennsylvania,77700.0,2019,Duplex,1900
60,279890,1.0,1,PGH,700,313477,5193,10/06/2019,07/01/1992,15200,40.477502,-79.954205,3060,254700,15201,Keystone Street,Pennsylvania,210000.0,2019,Condominium,1900
61,127794,1.5,3,PGH,884,158465,238,10/06/2019,09/05/2013,59000,40.483597,-79.944794,4809,79232,15201,57th Street,Pennsylvania,42800.0,2019,SingleFamily,1920
62,295415,1.5,3,PGH,1792,351544,5133,10/06/2019,NA,NA,40.478271,-79.953709,2000,233378,15201,Keystone Street,Pennsylvania,51200.0,2019,SingleFamily,1900
63,178104,1.0,2,PGH,1485,238659,5169,10/06/2019,03/30/2005,20000,40.477774,-79.952025,1460,144264,15201,Stanton Avenue,Pennsylvania,41700.0,2019,SingleFamily,1900
64,170335,1.0,2,PGH,1200,197589,218,10/06/2019,08/09/1996,39000,40.483913,-79.945543,4720,137971,15201,57th Street,Pennsylvania,86000.0,2019,SingleFamily,1900
65,279890,1.0,1,PGH,700,313477,5101,10/06/2019,07/01/1992,15200,40.477502,-79.954205,3060,254700,15201,Keystone Street,Pennsylvania,210000.0,2019,Condominium,1900
66,,NA,0,PGH,NA,,5399,01/01/1970,NA,NA,40.482504,-79.952301,2000,,15201,Butler Street,Pennsylvania,7000.0,2019,SingleFamily,NA
67,308003,1.0,1,PGH,850,391164,5342,10/06/2019,10/01/2010,48500,40.482353,-79.950705,NA,234082,15201,Carnegie Street,Pennsylvania,44700.0,2019,SingleFamily,NA
68,,1.0,2,PGH,NA,,5129,01/01/1970,NA,NA,40.478687,-79.954421,NA,,15201,Carnegie Street,Pennsylvania,NA,NA,Townhouse,NA
69,224067,1.0,3,PGH,1342,250955,811,10/06/2019,04/19/2000,17500,40.478833,-79.9491,1920,183735,15201,McCandless Avenue,Pennsylvania,49200.0,2019,SingleFamily,1900
70,145743,1.0,2,PGH,720,164690,899,10/06/2019,06/03/1982,20000,40.479329,-79.949962,930,125339,15201,McCandless Avenue,Pennsylvania,37600.0,2019,SingleFamily,1900
71,168406,1.5,2,PGH,1248,200403,214,10/06/2019,NA,NA,40.484125,-79.945473,2000,141461,15201,57th Street,Pennsylvania,57000.0,2019,SingleFamily,1920
72,,1.0,2,PGH,752,,519,01/01/1970,10/24/1997,11224,40.481995,-79.948216,5040,,15201,Kendall Street,Pennsylvania,17500.0,2019,SingleFamily,1900
73,301171,1.0,2,PGH,1270,352370,5212,10/06/2019,01/29/1988,25000,40.47905,-79.951742,2100,255995,15201,Holmes Street,Pennsylvania,51800.0,2019,SingleFamily,1900
74,295074,1.5,4,PGH,1890,362941,5331,10/06/2019,NA,NA,40.481701,-79.950264,1078,244911,15201,Keystone Street,Pennsylvania,48400.0,2019,SingleFamily,1900
75,,NA,0,PGH,NA,,5311,01/01/1970,NA,NA,40.482107,-79.951889,763,,15201,Dresden Way,Pennsylvania,2700.0,2019,SingleFamily,NA
76,194904,1.0,3,PGH,1319,226089,5328,10/06/2019,02/14/2019,160000,40.481411,-79.949967,4599,167617,15201,Keystone Street,Pennsylvania,74100.0,2019,SingleFamily,1910
77,225586,2.5,2,PGH,1440,263936,932,10/06/2019,NA,NA,40.478175,-79.947365,5706,191748,15201,53rd Street,Pennsylvania,100000.0,2019,SingleFamily,1951
78,365035,1.0,3,PGH,1523,423441,5271,10/06/2019,09/07/2000,42500,40.481475,-79.95223,2000,328532,15201,Carnegie Street,Pennsylvania,74600.0,2019,SingleFamily,1900
79,255642,1.0,2,PGH,1320,352786,5319,10/06/2019,07/10/2008,9000,40.482276,-79.951592,1020,196844,15201,Dresden Way,Pennsylvania,18000.0,2019,SingleFamily,1900
80,348413,1.0,3,PGH,1929,397191,5362,10/06/2019,05/26/1988,29000,40.481242,-79.951924,2000,303119,15201,Carnegie Street,Pennsylvania,80900.0,2019,SingleFamily,1900
81,420559,3.0,3,PGH,NA,458409,5185,10/06/2019,07/02/2018,409000,40.480487,-79.950865,2027,386914,15201,Holmes Street,Pennsylvania,357500.0,2019,SingleFamily,2016
82,292305,1.0,3,PGH,1904,377073,5343,10/06/2019,11/22/2010,37000,40.482363,-79.950988,1250,225075,15201,Dresden Way,Pennsylvania,41100.0,2019,SingleFamily,1900
83,397318,4.0,4,PGH,2670,417184,198,10/06/2019,02/23/2015,402065,40.543033,-80.083889,15651,377452,15201,McCandless Avenue,Pennsylvania,374300.0,2019,SingleFamily,2015
84,305315,2.0,4,PGH,2224,381644,5234,10/06/2019,11/04/1998,20000,40.480548,-79.952892,978,238146,15201,Carnegie Street,Pennsylvania,75000.0,2019,Duplex,1900
85,311571,2.0,4,PGH,1980,355191,5115,10/06/2019,01/03/2005,42000,40.478393,-79.954798,2200,249257,15201,Carnegie Street,Pennsylvania,51400.0,2019,SingleFamily,1900
86,523331,3.5,3,PGH,2034,565197,5197,10/06/2019,08/30/2018,510000,40.479234,-79.953065,980,481465,15201,Keystone Street,Pennsylvania,205100.0,2019,SingleFamily,2018
87,158249,1.0,3,PGH,1344,191481,5634,10/06/2019,02/15/2012,30000,40.484496,-79.946383,2000,125017,15201,Donson Way,Pennsylvania,71700.0,2019,SingleFamily,1900
