,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,110115,1.0,2,PGH,700,140947,3130,10/07/2019,05/01/2013,80000,40.441313,-79.966584,6630,75979,15213,Ellers Street,Pennsylvania,48100.0,2019,SingleFamily,1959
1,202049,2.5,4,PGH,1923,254582,253,10/07/2019,NA,NA,40.44225,-79.965235,1680,165680,15213,Dunseith Street,Pennsylvania,109200.0,2019,SingleFamily,1910
2,,1.5,2,PGH,896,,113,01/01/1970,05/25/1983,100,40.438166,-79.97288,1683,,15219,Kirkpatrick Street,Pennsylvania,17300.0,2019,SingleFamily,1900
3,158409,2.0,3,PGH,2015,188507,3154,10/07/2019,NA,NA,40.441513,-79.966119,6500,121975,15213,Ellers Street,Pennsylvania,69000.0,2019,SingleFamily,1928
4,182182,1.0,3,PGH,1843,211331,291,10/07/2019,NA,NA,40.441119,-79.965147,1680,151211,15213,Dunseith Street,Pennsylvania,80600.0,2019,SingleFamily,1900
5,,1.5,3,PGH,1442,,64,01/01/1970,11/12/2009,5000,40.437334,-79.970089,4258,,15213,Beelen Street,Pennsylvania,28000.0,2019,SingleFamily,1935
6,145195,1.5,3,PGH,1137,165522,203,10/07/2019,12/07/1994,23500,40.440186,-79.963059,966,113252,15213,Chesterfield Road,Pennsylvania,65300.0,2019,SingleFamily,1928
7,154286,1.0,3,PGH,1120,180515,237,10/07/2019,07/26/1996,22500,40.440671,-79.96367,966,129600,15213,Chesterfield Road,Pennsylvania,59600.0,2019,SingleFamily,1900
8,,1.0,3,PGH,2060,,2337,01/01/1970,10/02/2006,2000,40.437592,-79.971653,2125,,15213,Fifth Avenue,Pennsylvania,2900.0,2019,SingleFamily,1900
9,,NA,0,PGH,NA,,2250,01/01/1970,NA,NA,40.438233,-79.973951,2520,,15219,Fifth Avenue,Pennsylvania,600.0,2019,SingleFamily,NA
