,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,192116,3.0,4,PGH,1588,217091,1318,10/07/2019,12/14/2016,168000,40.43649,-80.052973,8276,170983,15205,Barr Avenue,Pennsylvania,94700.0,2019,SingleFamily,1955
1,128732,1.5,2,PGH,1075,141605,1325,10/07/2019,NA,NA,40.437144,-80.051766,6829,110710,15205,Bartow Street,Pennsylvania,86500.0,2019,SingleFamily,1964
2,143728,1.0,3,PGH,975,153789,1855,10/07/2019,10/02/1984,54000,40.431676,-80.055679,6299,129355,15205,Chessland Street,Pennsylvania,83600.0,2019,SingleFamily,1964
3,134155,2.0,2,PGH,962,147570,51,10/07/2019,11/26/1975,7000,40.437269,-80.052705,23027,119398,15205,Clearview Avenue,Pennsylvania,93200.0,2019,SingleFamily,1980
4,141057,2.0,2,PGH,875,155163,1357,10/07/2019,11/07/2013,118000,40.43268,-80.053056,6888,129772,15205,Kinmount Street,Pennsylvania,90000.0,2019,SingleFamily,1956
5,125069,1.0,2,PGH,900,136325,210,10/07/2019,NA,NA,40.434369,-80.048448,7844,107559,15205,Shadyhill Road,Pennsylvania,75300.0,2019,SingleFamily,1954
6,131381,1.5,3,PGH,925,144519,1344,10/07/2019,02/27/2007,67550,40.433114,-80.04934,4100,119557,15205,Vinemont Street,Pennsylvania,77100.0,2019,SingleFamily,1955
7,161605,2.0,3,PGH,1338,176149,2056,10/07/2019,11/02/2018,180000,40.427599,-80.048765,7148,145445,15205,Arnold Acres Drive,Pennsylvania,104600.0,2019,SingleFamily,1955
8,163909,1.5,3,Green Tree,1337,185217,2010,10/07/2019,09/27/2016,145000,40.427661,-80.047204,6150,144240,15205,Warriors Road,Pennsylvania,93400.0,2019,SingleFamily,1940
9,110740,1.0,3,PGH,1080,126244,1347,10/07/2019,09/26/1994,25000,40.436644,-80.054079,5095,84162,15205,Barr Avenue,Pennsylvania,66400.0,2019,SingleFamily,1945
10,112760,1.0,3,Green Tree,1122,135312,1925,10/07/2019,08/16/2011,74500,40.429226,-80.048628,5726,80060,15205,Kearns Avenue,Pennsylvania,72800.0,2019,SingleFamily,1920
11,137715,1.0,2,PGH,936,151486,1417,10/07/2019,08/01/2014,104900,40.431852,-80.054872,5125,126698,15205,Manley Street,Pennsylvania,89100.0,2019,SingleFamily,1958
12,144376,1.0,2,PGH,950,151595,1273,10/07/2019,08/09/1993,65000,40.433145,-80.046636,5000,137157,15205,Vinemont Street,Pennsylvania,70400.0,2019,SingleFamily,1955
13,,1.0,2,PGH,NA,,1,01/01/1970,NA,NA,40.433709,-80.04806,NA,,15205,Shadyhill Road,Pennsylvania,NA,NA,Apartment,NA
14,,1.0,2,PGH,1129,,401,01/01/1970,08/22/2001,10000,40.435006,-80.040271,36590,,15220,Wittman Street,Pennsylvania,10000.0,2019,SingleFamily,1900
15,23054,2.0,2,PGH,1272,25590,10,10/07/2019,06/27/2017,21000,40.436714,-80.050341,4971,20749,15205,Hartwell Street,Pennsylvania,30000.0,2019,SingleFamily,1920
16,131824,1.0,3,Green Tree,990,145006,2033,10/07/2019,06/10/1987,57000,40.42826,-80.049958,5500,119960,15205,Kearns Avenue,Pennsylvania,71500.0,2019,SingleFamily,1957
17,,NA,0,PGH,NA,,1835,01/01/1970,NA,NA,40.429442,-80.055183,6418,,15205,Chessland Street,Pennsylvania,1700.0,2019,SingleFamily,NA
18,127070,2.0,2,PGH,1232,142318,1920,10/07/2019,02/03/2017,112000,40.429494,-80.048882,5000,113092,15205,Kearns Avenue,Pennsylvania,67500.0,2019,SingleFamily,1905
19,131330,2.0,2,PGH,917,144463,1315,10/07/2019,09/20/1982,49000,40.436086,-80.053082,5888,112944,15205,Barr Avenue,Pennsylvania,79900.0,2019,SingleFamily,1960
20,103383,1.0,2,PGH,684,127161,1064,10/07/2019,06/23/1997,86920,40.432979,-80.043089,10964,85808,15220,Coverdale Street,Pennsylvania,67900.0,2019,SingleFamily,1950
21,124587,1.0,3,PGH,910,137046,1449,10/07/2019,11/03/2003,82000,40.432839,-80.055779,2500,104653,15205,Kinmount Street,Pennsylvania,77300.0,2019,SingleFamily,1958
22,77896,1.0,2,PGH,720,105939,274,10/07/2019,04/26/2007,10000,40.436983,-80.049115,7150,50632,15205,Ledgedale Street,Pennsylvania,49400.0,2019,SingleFamily,1910
23,143382,1.5,2,Crafton,1138,153419,1363,10/07/2019,07/11/2007,116900,40.433197,-80.053862,5922,129044,15205,Harris Avenue,Pennsylvania,85900.0,2019,SingleFamily,1955
24,85466,1.0,3,PGH,1298,111106,1861,10/07/2019,NA,NA,40.436591,-80.052272,3366,70082,15205,Noblestown Road,Pennsylvania,66900.0,2019,SingleFamily,1909
25,113683,1.0,3,Crafton,842,135283,1430,10/07/2019,03/10/2016,68000,40.434866,-80.055689,7500,88673,15205,Keever Avenue,Pennsylvania,67600.0,2019,SingleFamily,1948
26,128760,1.0,2,Green Tree,1092,141636,1866,10/07/2019,NA,NA,40.430329,-80.048387,5000,115884,15205,Warriors Road,Pennsylvania,97700.0,2019,SingleFamily,1938
27,,1.0,2,PGH,NA,,7,01/01/1970,NA,NA,40.436869,-80.058378,NA,,15205,Clearview Avenue,Pennsylvania,NA,NA,Apartment,NA
28,171805,2.0,3,PGH,1449,185549,1323,10/07/2019,06/09/1977,14000,40.436003,-80.042366,54406,158061,15220,McCartney Street,Pennsylvania,125100.0,2019,SingleFamily,1958
29,103937,1.0,2,PGH,1224,123685,207,10/07/2019,03/18/1997,23000,40.434587,-80.04814,4800,78992,15205,Shadyhill Road,Pennsylvania,70200.0,2019,SingleFamily,1940
30,144448,1.0,3,PGH,1232,157448,1740,10/07/2019,07/16/1986,55000,40.432161,-80.056169,6274,130003,15205,Chessland Street,Pennsylvania,90000.0,2019,SingleFamily,1965
31,93720,1.0,3,PGH,1288,117150,1928,10/07/2019,02/22/1977,13900,40.435762,-80.050967,3750,77788,15205,Noblestown Road,Pennsylvania,69500.0,2019,SingleFamily,1925
32,127110,1.0,2,PGH,875,138550,1375,10/07/2019,09/23/2008,83000,40.432559,-80.0534,6622,116941,15205,Kinmount Street,Pennsylvania,72100.0,2019,SingleFamily,1955
33,,1.5,4,PGH,1992,,1415,01/01/1970,10/03/1997,35000,40.435411,-80.038248,25974,,15220,McCartney Street,Pennsylvania,46000.0,2019,SingleFamily,1853
34,,NA,0,PGH,NA,,254,01/01/1970,NA,NA,40.430325,-80.043598,2500,,15220,Kearns Avenue,Pennsylvania,900.0,2019,SingleFamily,NA
35,87914,1.0,3,PGH,2316,132750,700,10/07/2019,NA,NA,40.43818,-80.045295,240395,57144,15220,Noblestown Road,Pennsylvania,56000.0,2019,SingleFamily,1900
