,amount,bathrooms,bedrooms,city,finishedSqFt,high,house_number,last-updated,lastSoldDate,lastSoldPrice,latitude,longitude,lotSizeSqFt,low,postcode,road,state,taxAssessment,taxAssessmentYear,useCode,yearBuilt
0,737922,2.0,3,PGH,2464,855990,5572,09/23/2019,10/17/2000,385250,40.446863,-79.930782,11850,656751,15217,Dunmoyle Street,Pennsylvania,396800.0,2019,SingleFamily,1947
1,499368,1.5,3,PGH,1950,569280,5500,09/23/2019,04/24/1980,92500,40.446304,-79.933491,6640,434450,15217,Wilkins Avenue,Pennsylvania,254800.0,2019,SingleFamily,1925
2,346726,2.5,3,PGH,1654,440342,5030,09/23/2019,NA,NA,40.447271,-79.940875,NA,294717,15232,Fifth Avenue,Pennsylvania,NA,NA,Townhouse,NA
3,,1.0,1,PGH,NA,,5230,01/01/1970,NA,NA,40.447634,-79.935487,NA,,15232,Fifth Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
4,808574,4.0,5,PGH,4429,913689,5899,09/23/2019,10/06/1978,128860,40.439169,-79.922469,9997,711545,15217,Marlborough Avenue,Pennsylvania,534200.0,2019,SingleFamily,1912
5,665622,3.5,6,PGH,4505,812059,5516,09/23/2019,05/06/2016,931372,40.438756,-79.929886,17104,572435,15217,Aylesboro Avenue,Pennsylvania,143900.0,2019,SingleFamily,1900
6,466197,1.5,3,PGH,1816,522141,6691,09/23/2019,NA,NA,40.4412,-79.914359,6302,424239,15217,Aylesboro Avenue,Pennsylvania,322900.0,2019,SingleFamily,1920
7,774443,3.0,3,PGH,2128,813165,214,09/23/2019,02/19/2008,650000,40.439604,-79.936195,1554,735721,15217,Schenley Drive,Pennsylvania,600000.0,2019,SingleFamily,1982
8,924842,1.0,4,PGH,4486,1100562,1346,09/23/2019,09/07/2012,650000,40.441932,-79.932599,9800,786116,15217,Bennington Avenue,Pennsylvania,612100.0,2019,SingleFamily,1928
9,,1.0,0,PGH,1000,,6111,01/01/1970,NA,NA,40.452989,-79.92293,NA,,15232,Fifth Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,2015
10,1140516,5.0,5,PGH,4882,1197542,5407,09/23/2019,09/16/2019,1140000,40.447428,-79.931204,14026,1083490,15217,Dunmoyle Street,Pennsylvania,732600.0,2019,SingleFamily,1900
11,193251,1.0,2,PGH,1154,233834,5466,09/23/2019,NA,NA,40.445737,-79.931765,818,150736,15217,Wilkins Avenue,Pennsylvania,90000.0,2019,Townhouse,1900
12,858060,3.5,6,PGH,3587,952447,1282,09/23/2019,04/19/2017,765000,40.444597,-79.925907,13203,772254,15217,Murray Hill Avenue,Pennsylvania,678500.0,2019,SingleFamily,1921
13,652353,1.5,2,PGH,1800,730635,143,09/23/2019,08/28/2015,610000,40.452011,-79.922977,1800,613212,15232,Woodland Road,Pennsylvania,436100.0,2019,Condominium,1999
14,,1.0,2,PGH,900,,5540,01/01/1970,NA,NA,40.448916,-79.930827,NA,,15232,Fifth Avenue,Pennsylvania,NA,NA,MultiFamily5Plus,NA
15,557705,3.5,4,PGH,2065,630207,1201,09/23/2019,NA,NA,40.44213,-79.935,4865,468472,15217,Malvern Avenue,Pennsylvania,NA,NA,SingleFamily,1908
16,333276,2.0,3,PGH,1628,366604,5216,09/23/2019,NA,NA,40.444895,-79.935734,3192,299948,15217,Beeler Street,Pennsylvania,185700.0,2019,SingleFamily,1925
17,604518,2.5,4,PGH,2430,640789,5527,09/23/2019,08/27/2004,318000,40.44215,-79.929791,4400,531976,15217,Woodmont Street,Pennsylvania,350100.0,2019,SingleFamily,1925
18,2090909,4.5,5,PGH,9288,2467273,224,09/23/2019,10/01/2004,1200000,40.444506,-79.921866,12109,1798182,15232,Woodland Road,Pennsylvania,1600000.0,2019,SingleFamily,1970
19,379965,1.0,3,PGH,1875,421761,5608,09/23/2019,01/22/1987,66000,40.4449,-79.93016,2447,341969,15217,Wilkins Avenue,Pennsylvania,189600.0,2019,SingleFamily,1922
